2026-09-05 08:34:29,703 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 08:34:29,705 | INFO | gmail_sync | Fetching up to 10000 recent message IDs...
2026-09-05 08:34:30,284 | INFO | gmail_sync | Fetched page 1: 500 messages (total: 500/10000)
2026-09-05 08:34:30,719 | INFO | gmail_sync | Fetched page 2: 500 messages (total: 1000/10000)
2026-09-05 08:34:31,150 | INFO | gmail_sync | Fetched page 3: 500 messages (total: 1500/10000)
2026-09-05 08:34:31,565 | INFO | gmail_sync | Fetched page 4: 500 messages (total: 2000/10000)
2026-09-05 08:34:31,993 | INFO | gmail_sync | Fetched page 5: 500 messages (total: 2500/10000)
2026-09-05 08:34:32,398 | INFO | gmail_sync | Fetched page 6: 500 messages (total: 3000/10000)
2026-09-05 08:34:32,817 | INFO | gmail_sync | Fetched page 7: 500 messages (total: 3500/10000)
2026-09-05 08:34:33,231 | INFO | gmail_sync | Fetched page 8: 500 messages (total: 4000/10000)
2026-09-05 08:34:34,320 | INFO | gmail_sync | Fetched page 9: 500 messages (total: 4500/10000)
2026-09-05 08:34:34,772 | INFO | gmail_sync | Fetched page 10: 500 messages (total: 5000/10000)
2026-09-05 08:34:35,840 | INFO | gmail_sync | Fetched page 11: 500 messages (total: 5500/10000)
2026-09-05 08:34:36,275 | INFO | gmail_sync | Fetched page 12: 500 messages (total: 6000/10000)
2026-09-05 08:34:36,682 | INFO | gmail_sync | Fetched page 13: 500 messages (total: 6500/10000)
2026-09-05 08:34:37,734 | INFO | gmail_sync | Fetched page 14: 500 messages (total: 7000/10000)
2026-09-05 08:34:38,170 | INFO | gmail_sync | Fetched page 15: 500 messages (total: 7500/10000)
2026-09-05 08:34:38,587 | INFO | gmail_sync | Fetched page 16: 500 messages (total: 8000/10000)
2026-09-05 08:34:39,677 | INFO | gmail_sync | Fetched page 17: 500 messages (total: 8500/10000)
2026-09-05 08:34:40,089 | INFO | gmail_sync | Fetched page 18: 500 messages (total: 9000/10000)
2026-09-05 08:34:40,511 | INFO | gmail_sync | Fetched page 19: 500 messages (total: 9500/10000)
2026-09-05 08:34:40,929 | INFO | gmail_sync | Fetched page 20: 500 messages (total: 10000/10000)
2026-09-05 08:34:40,930 | INFO | gmail_sync | Finished fetching message IDs. Total: 10000 messages in 11.22 seconds.
2026-09-05 08:36:51,382 | INFO | gmail_sync | Authenticating user...
2026-09-05 08:36:51,382 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 08:36:51,386 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 08:36:51,389 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 08:36:51,788 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 08:36:51,788 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.40 seconds.
2026-09-05 09:43:14,602 | INFO | gmail_sync | Authenticating user...
2026-09-05 09:43:14,602 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 09:43:14,607 | INFO | gmail_sync | Token expired. Refreshing token...
2026-09-05 09:43:14,795 | INFO | gmail_sync | Saving credentials...
2026-09-05 09:43:14,796 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 09:43:14,800 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 09:43:15,251 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 09:43:15,251 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.45 seconds.
2026-09-05 09:46:16,178 | INFO | gmail_sync | Authenticating user...
2026-09-05 09:46:16,179 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 09:46:16,182 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 09:46:16,184 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 09:46:16,596 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 09:46:16,596 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.41 seconds.
2026-09-05 09:50:03,722 | INFO | gmail_sync | Authenticating user...
2026-09-05 09:50:03,723 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 09:50:03,726 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 09:50:03,728 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 09:50:04,145 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 09:50:04,145 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.42 seconds.
2026-09-05 09:52:44,093 | INFO | gmail_sync | Authenticating user...
2026-09-05 09:52:44,093 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 09:52:44,096 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 09:52:44,099 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 09:52:44,497 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 09:52:44,497 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.40 seconds.
2026-09-05 09:53:27,891 | INFO | gmail_sync | Authenticating user...
2026-09-05 09:53:27,891 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 09:53:27,894 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 09:53:27,896 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 09:53:28,326 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 09:53:28,326 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.43 seconds.
2026-09-05 10:02:02,176 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:02:02,176 | INFO | gmail_sync | No valid credentials found. Starting OAuth flow...
2026-09-05 10:04:21,083 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:04:21,083 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:04:21,088 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:04:21,090 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:04:21,510 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:04:21,510 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.42 seconds.
2026-09-05 10:07:44,365 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:07:44,365 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:07:44,369 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:07:44,371 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:07:44,775 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:07:44,775 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.40 seconds.
2026-09-05 10:08:45,691 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:08:45,692 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:08:45,696 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:08:45,698 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:08:46,084 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:08:46,085 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.39 seconds.
2026-09-05 10:08:48,624 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:08:48,624 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:08:48,628 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:08:48,630 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:08:49,032 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:08:49,032 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.40 seconds.
2026-09-05 10:08:57,040 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:08:57,040 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:08:57,046 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:08:57,048 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:08:57,438 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:08:57,438 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.39 seconds.
2026-09-05 10:09:08,392 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:09:08,392 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:09:08,396 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:09:08,399 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:09:08,794 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:09:08,795 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.40 seconds.
2026-09-05 10:20:16,036 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:20:16,036 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:20:16,039 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:20:16,041 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:20:16,442 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:20:16,443 | INFO | gmail_sync | Finished fetching message IDs. Total: 5 messages in 0.40 seconds.
2026-09-05 10:30:30,560 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:30:30,560 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:30:30,562 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:30:30,565 | INFO | gmail_sync | First boot detected. Fetching first 5 emails...
2026-09-05 10:30:30,565 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:30:30,982 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:30:30,982 | INFO | gmail_sync | Fetched 5 message IDs. Fetching message details...
2026-09-05 10:30:32,617 | INFO | gmail_sync | Fetched 5 emails in 2.05 seconds.
2026-09-05 10:30:32,617 | INFO | gmail_sync | Saving emails to database...
2026-09-05 10:34:01,817 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:34:01,818 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:34:01,819 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:34:01,821 | INFO | gmail_sync | First boot detected. Fetching first 5 emails...
2026-09-05 10:34:01,821 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:34:02,201 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:34:02,201 | INFO | gmail_sync | Fetched 5 message IDs. Fetching message details...
2026-09-05 10:34:03,963 | INFO | gmail_sync | Fetched 5 emails in 2.14 seconds.
2026-09-05 10:34:03,963 | INFO | gmail_sync | Saving emails to database...
2026-09-05 10:34:03,969 | INFO | gmail_sync | Sync complete!
2026-09-05 10:34:16,070 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:34:16,070 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:34:16,072 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:34:16,074 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:34:16,439 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:34:16,439 | INFO | gmail_sync | Fetched 5 message IDs. Fetching message details...
2026-09-05 10:34:18,105 | INFO | gmail_sync | Fetched 5 emails in 2.03 seconds.
2026-09-05 10:34:37,279 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:34:37,279 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:34:37,280 | INFO | gmail_sync | Authentication successful. Building Gmail service...
